OrderID,Order Date,Product ID,Customer ID,Store ID,Quantity Sold,Sales Person ID
ORD000001,24/01/2024,P0146,C01705,S033,18,SP0074
ORD000002,14/08/2024,P0105,C01514,S007,9,SP0197
ORD000003,27/11/2024,P0190,C02842,S038,12,SP0044
ORD000004,25/11/2024,P0131,C00243,S015,27,SP0095
ORD000005,17/06/2024,P0157,C02058,S011,29,SP0098
ORD000006,22/10/2024,P0106,C01737,S030,29,SP0092
ORD000007,17/04/2024,P0171,C00443,S002,45,SP0106
ORD000008,29/05/2024,P0176,C01759,S046,53,SP0198
ORD000009,06/12/2024,P0131,C00258,S016,20,SP0103
ORD000010,09/11/2024,P0163,C02718,S048,21,SP0064
ORD000011,07/06/2024,P0151,C00071,S033,47,SP0132
ORD000012,01/12/2024,P0046,C00552,S050,55,SP0179
ORD000013,15/07/2024,P0041,C02383,S050,39,SP0165
ORD000014,22/09/2024,P0048,C00838,S027,36,SP0047
ORD000015,18/03/2024,P0128,C02012,S048,28,SP0114
ORD000016,16/08/2024,P0055,C02728,S042,6,SP0142
ORD000017,15/08/2024,P0023,C02074,S039,20,SP0038
ORD000018,26/07/2024,P0034,C02669,S049,24,SP0031
ORD000019,04/07/2024,P0128,C00336,S010,8,SP0047
ORD000020,13/05/2024,P0190,C02339,S010,44,SP0164
ORD000021,25/06/2024,P0145,C01939,S011,57,SP0061
ORD000022,23/12/2024,P0025,C02455,S006,43,SP0012
ORD000023,21/02/2024,P0094,C02070,S035,39,SP0054
ORD000024,18/09/2024,P0098,C00205,S013,28,SP0139
ORD000025,22/04/2024,P0107,C02684,S001,62,SP0105
ORD000026,17/01/2024,P0038,C00093,S032,9,SP0076
ORD000027,21/08/2024,P0154,C01452,S008,12,SP0152
ORD000028,02/11/2024,P0052,C02890,S025,6,SP0030
ORD000029,27/04/2024,P0070,C00752,S034,31,SP0190
ORD000030,12/07/2024,P0157,C02673,S022,45,SP0069
ORD000031,28/06/2024,P0063,C00562,S029,37,SP0102
ORD000032,20/02/2024,P0021,C01721,S007,14,SP0196
ORD000033,04/04/2024,P0181,C01441,S004,26,SP0177
ORD000034,18/12/2024,P0151,C02864,S047,9,SP0089
ORD000035,03/09/2024,P0005,C01012,S050,35,SP0008
ORD000036,13/12/2024,P0106,C02994,S004,26,SP0154
ORD000037,19/10/2024,P0024,C02435,S037,63,SP0061
ORD000038,05/11/2024,P0053,C01811,S004,26,SP0174
ORD000039,12/05/2024,P0186,C01124,S049,27,SP0150
ORD000040,23/09/2024,P0134,C02910,S011,13,SP0090
ORD000041,20/06/2024,P0062,C01672,S022,13,SP0040
ORD000042,05/06/2024,P0106,C02603,S036,26,SP0002
ORD000043,29/05/2024,P0049,C00532,S010,46,SP0003
ORD000044,08/08/2024,P0110,C01150,S041,24,SP0061
ORD000045,09/12/2024,P0092,C02525,S001,58,SP0040
ORD000046,16/03/2024,P0009,C02474,S006,63,SP0079
ORD000047,20/12/2024,P0080,C02707,S041,53,SP0165
ORD000048,16/12/2024,P0084,C02439,S017,13,SP0198
ORD000049,05/07/2024,P0048,C01343,S033,65,SP0162
ORD000050,30/06/2024,P0105,C00521,S013,20,SP0076
ORD000051,08/08/2024,P0024,C00864,S007,39,SP0107
ORD000052,03/12/2024,P0164,C02235,S030,9,SP0137
ORD000053,16/04/2024,P0134,C02655,S005,60,SP0147
ORD000054,25/06/2024,P0043,C00217,S032,46,SP0014
ORD000055,10/08/2024,P0033,C01003,S027,33,SP0062
ORD000056,13/06/2024,P0137,C01749,S004,22,SP0094
ORD000057,01/07/2024,P0109,C02019,S009,19,SP0110
ORD000058,01/10/2024,P0056,C00437,S046,32,SP0189
ORD000059,20/03/2024,P0115,C01030,S018,30,SP0025
ORD000060,24/05/2024,P0132,C02653,S035,63,SP0140
ORD000061,20/04/2024,P0073,C01658,S029,10,SP0164
ORD000062,11/01/2024,P0060,C01918,S026,9,SP0136
ORD000063,03/07/2024,P0083,C02702,S013,44,SP0079
ORD000064,30/03/2024,P0077,C02976,S047,26,SP0072
ORD000065,08/01/2024,P0131,C02800,S045,57,SP0154
ORD000066,15/11/2024,P0115,C01339,S010,39,SP0067
ORD000067,20/07/2024,P0101,C01910,S022,42,SP0024
ORD000068,24/11/2024,P0183,C02073,S041,36,SP0190
ORD000069,29/08/2024,P0037,C00407,S019,61,SP0142
ORD000070,04/05/2024,P0103,C01128,S008,28,SP0002
ORD000071,02/05/2024,P0051,C02277,S024,57,SP0185
ORD000072,17/08/2024,P0157,C02514,S032,10,SP0044
ORD000073,25/04/2024,P0078,C00895,S010,14,SP0151
ORD000074,08/04/2024,P0110,C01773,S002,11,SP0185
ORD000075,24/09/2024,P0154,C00939,S015,12,SP0176
ORD000076,24/09/2024,P0169,C01710,S011,64,SP0102
ORD000077,16/07/2024,P0024,C00443,S012,53,SP0061
ORD000078,14/03/2024,P0181,C01915,S026,44,SP0034
ORD000079,13/02/2024,P0128,C00765,S009,15,SP0194
ORD000080,25/02/2024,P0159,C02964,S021,35,SP0014
ORD000081,06/02/2024,P0014,C02967,S046,34,SP0194
ORD000082,22/06/2024,P0188,C02772,S020,56,SP0166
ORD000083,08/07/2024,P0159,C00703,S010,52,SP0197
ORD000084,31/07/2024,P0154,C01970,S037,39,SP0182
ORD000085,04/11/2024,P0078,C01902,S048,28,SP0065
ORD000086,17/02/2024,P0016,C00977,S032,45,SP0001
ORD000087,24/06/2024,P0077,C00531,S001,52,SP0081
ORD000088,14/04/2024,P0125,C00748,S035,29,SP0103
ORD000089,03/06/2024,P0037,C02172,S030,18,SP0056
ORD000090,13/05/2024,P0125,C00242,S017,27,SP0094
ORD000091,15/05/2024,P0175,C02432,S030,53,SP0175
ORD000092,22/05/2024,P0008,C01643,S009,53,SP0108
ORD000093,21/08/2024,P0126,C01797,S016,6,SP0036
ORD000094,09/01/2024,P0040,C00572,S036,7,SP0024
ORD000095,20/12/2024,P0025,C01183,S045,31,SP0140
ORD000096,03/05/2024,P0018,C03000,S001,55,SP0062
ORD000097,12/04/2024,P0105,C00157,S023,29,SP0121
ORD000098,10/12/2024,P0036,C02216,S006,32,SP0148
ORD000099,10/09/2024,P0042,C02451,S004,24,SP0067
ORD000100,08/04/2024,P0200,C00098,S033,52,SP0114
ORD000101,07/01/2024,P0144,C01515,S026,31,SP0010
ORD000102,14/06/2024,P0123,C02562,S018,26,SP0151
ORD000103,15/03/2024,P0138,C00600,S014,38,SP0007
ORD000104,22/03/2024,P0133,C00174,S042,23,SP0184
ORD000105,10/03/2024,P0167,C01855,S029,44,SP0172
ORD000106,14/06/2024,P0056,C02181,S038,38,SP0012
ORD000107,17/03/2024,P0060,C00403,S020,13,SP0068
ORD000108,02/05/2024,P0192,C02548,S020,30,SP0051
ORD000109,04/06/2024,P0064,C00447,S030,8,SP0137
ORD000110,11/10/2024,P0118,C00512,S049,31,SP0100
ORD000111,05/02/2024,P0074,C01423,S022,22,SP0043
ORD000112,01/05/2024,P0173,C00816,S048,47,SP0174
ORD000113,19/06/2024,P0014,C00891,S014,9,SP0189
ORD000114,13/01/2024,P0030,C02851,S014,44,SP0035
